timestamp_ms,lba,size_blocks,operation,stream_id
1.5348,15592,1,R,default
2.9528,15593,1,R,default
3.2101,15594,1,R,default
3.4578,15595,1,R,default
4.413,15596,3,R,default
4.6247,15599,2,R,default
5.3248,15601,3,R,default
6.2087,15604,2,R,default
7.8615,15606,2,R,default
9.7217,15608,3,R,default
11.035,15611,2,R,default
11.3602,15613,3,R,default
13.0998,15616,2,R,default
14.444,15618,2,R,default
15.8503,15620,2,R,default
17.1467,15622,3,R,default
18.1788,15625,3,R,default
18.7741,15628,3,R,default
19.0319,15631,1,R,default
20.8755,15632,2,R,default
22.2553,15634,3,R,default
22.9321,15637,3,R,default
24.4767,15640,3,R,default
25.0715,15643,3,W,default
26.6319,15646,3,R,default
28.2577,15649,1,R,default
29.5303,15650,1,R,default
31.2797,15651,2,R,default
33.0723,15653,3,R,default
33.8006,15656,3,R,default
35.5771,15659,1,R,default
36.691,15660,3,R,default
37.4282,15663,3,R,default
38.3012,15666,3,R,default
39.5793,15669,3,R,default
41.361,15672,1,R,default
41.9946,15673,2,R,default
43.0694,15675,1,R,default
43.5005,15676,3,R,default
44.6503,15679,3,R,default
46.2098,15682,1,R,default
48.2011,15683,3,R,default
49.2137,15686,2,R,default
50.4727,15688,1,R,default
51.0848,15695,1,W,default
51.7132,15696,2,R,default
53.2152,15698,1,R,default
54.8275,15699,3,R,default
56.2137,15702,1,R,default
57.726,15703,2,R,default
58.6508,15705,3,R,default
59.1931,15708,1,R,default
60.2259,15709,2,R,default
61.9763,15711,1,R,default
63.1494,15712,1,R,default
64.877,15713,1,R,default
66.6334,15714,2,W,default
68.6069,15716,1,R,default
70.0608,15717,2,R,default
71.1368,15719,3,R,default
72.3793,15722,1,R,default
72.6696,15723,3,R,default
74.599,15726,3,R,default
74.9213,15729,1,R,default
75.3371,15730,2,R,default
75.6086,15732,1,R,default
76.7496,15733,3,W,default
77.5152,15736,1,R,default
78.2552,15737,1,R,default
78.587,15746,1,R,default
79.4153,15747,2,R,default
79.8992,15749,1,R,default
81.8701,15750,3,R,default
83.7473,15767,3,R,default
85.5488,15770,1,R,default
86.8375,15771,1,R,default
88.5727,15772,1,R,default
90.2957,15773,2,R,default
90.5751,15775,2,R,default
91.2466,15777,1,R,default
92.4562,15778,3,R,default
93.6383,15781,3,R,default
94.6119,15784,3,R,default
96.2449,15787,2,R,default
96.8941,15789,2,R,default
97.8255,15791,3,R,default
98.4517,15794,1,R,default
98.6963,15795,1,R,default
99.6374,15796,2,R,default
100.3176,15798,3,R,default
100.5873,15801,1,R,default
101.6159,15802,1,R,default
103.0039,15803,1,R,default
104.9443,15804,2,R,default
106.3675,15806,3,R,default
106.7751,15809,2,W,default
108.0202,15811,1,W,default
109.0024,15812,1,R,default
110.974,15813,2,R,default
111.2539,15815,3,R,default
112.4231,15818,3,R,default
112.9778,15821,3,R,default
114.2995,15824,3,R,default
115.04,15827,1,R,default
116.495,15828,2,R,default
118.3877,15830,1,R,default
119.1294,15831,1,R,default
119.7077,15832,1,R,default
120.7447,15833,3,R,default
122.3734,15836,1,W,default
122.726,15837,3,R,default
123.0941,15840,3,W,default
123.6985,15843,1,R,default
125.6696,15844,1,R,default
127.4646,15845,1,R,default
128.5545,15846,3,R,default
130.3613,15849,3,R,default
130.9552,15852,1,R,default
131.2456,15853,3,R,default
132.8881,15856,1,R,default
134.7982,15857,3,R,default
